cell_specimen_id,ori_peak_sig,freq_peak_sig
517406587,1.6183271501842775,1.3579376324339951
517406338,1.2089749229834457,1.0460536683607013
517406561,1.2044876846805948,1.253672870419188
517406780,1.167504255889997,1.2582612105226612
517406221,1.1579355550398687,1.115118774528822
517406247,1.1544579778742146,1.3767327177716848
517406104,1.1523798956501539,1.2719249074764714
517408306,1.1475629033538832,1.1666382211763742
517406512,1.1445108465115885,1.0539980210863524
587376993,1.142641885148908,1.0465950646877387
517406437,1.1398721069392606,1.1615811361918427
517408140,1.1374107144423335,1.0640245977176939
587377106,1.1365295552851733,1.064705593575156
517406549,1.1359703092407927,1.081055268415575
517406124,1.1289790513324902,1.123824034687112
