cell_specimen_id,pref_ori
517406013,90
517406018,90
517406026,150
517406037,0
517406063,120
517406067,90
517406073,90
517406077,60
517406083,120
517406089,90
517406097,120
517406104,90
517406109,60
517406119,90
517406124,30
517406129,0
517406139,60
517406144,90
517406149,120
517406160,90
517406178,30
517406188,120
517406198,90
517406205,90
517406213,0
517406221,120
517406226,90
517406231,30
517406237,0
517406247,90
517406252,0
517406268,0
517406276,60
517406288,0
517406295,30
517406299,30
517406305,60
517406310,60
517406315,60
517406320,90
517406325,120
517406330,120
517406335,0
517406338,60
517406343,30
517406348,150
517406409,120
517406420,90
517406430,90
517406437,120
517406456,120
517406469,90
517406482,90
517406498,150
517406512,0
517406536,60
517406549,120
517406561,150
517406574,150
517406587,30
517406677,90
517406682,120
517406729,120
517406755,30
517406768,90
517406780,120
517406790,120
517406801,90
517406811,0
517406846,90
517406854,120
517406857,0
517406983,150
517407001,30
517407016,90
517407021,90
517407025,90
517407035,0
517407041,90
517407045,150
517407067,90
517407196,0
517407206,60
517407211,30
517407215,90
517407219,60
517407223,30
517407227,30
517407231,90
517407291,150
517407351,120
517407389,90
517407402,60
517407411,120
517407414,120
517407417,150
517407420,120
517407432,30
517407443,150
517407478,30
517407598,90
517407602,90
517407606,60
517407614,90
517407617,120
517407640,60
517407653,150
517407751,90
517407769,90
517407983,150
517408003,90
517408011,60
517408028,120
517408040,120
517408125,30
517408140,90
517408154,150
517408158,90
517408166,30
517408171,60
517408175,30
517408179,90
517408183,90
517408191,90
517408202,90
517408223,120
517408232,30
517408306,0
517408317,120
517408399,120
517408466,30
517408472,30
517408484,120
587376001,90
587376044,30
587376154,150
587376188,30
587376195,30
587376328,150
587376389,90
587376641,150
587376742,0
587376750,0
587376774,120
587376781,150
587376788,0
587376807,0
587376993,120
587377013,120
587377072,150
587377083,90
587377106,60
587377130,150
587377160,120
587377170,60
