cell_specimen_id,pref_ori
541019451,150
541019456,120
541019461,30
541019471,30
541019476,60
541019481,0
541019486,120
541019491,30
541019496,150
541019504,150
541019512,90
541019526,120
541019529,150
541019553,90
541019558,120
541019563,150
541019568,120
541019573,0
541019586,0
541019591,60
541019596,60
541019600,60
541019611,0
541019632,120
541019657,90
541019662,150
541019667,150
541019672,0
541019682,90
541019687,30
541019692,90
541019696,60
541019702,0
541019711,120
541019719,90
541019723,60
541019727,150
541019731,150
541019736,60
541019747,60
541019760,120
541019765,150
541019770,30
541019775,90
541019780,30
541019785,60
541019790,120
541019795,30
541019800,60
541019846,150
541019851,60
541019857,60
541019862,0
541019867,30
541019879,150
541019885,30
541019891,60
541019896,150
541019913,60
541019939,120
541019942,30
541019948,30
541019954,60
541019957,30
541019960,60
