cell_specimen_id,pref_ori
662242307,120
662242335,90
662242352,60
662242376,150
662242388,90
662242397,90
662242411,120
662242424,60
662242438,90
662242453,90
662242580,60
662242592,0
662242605,90
662242639,120
662242656,90
662242674,0
662242708,30
662242725,150
662242751,90
662242763,150
662242785,60
662242810,30
662242879,60
662242912,120
662242925,90
662242955,150
662242985,60
662243000,0
662243013,0
662243041,90
662243089,0
662243119,60
662243135,120
662243149,0
662243179,30
662243216,90
662243225,150
662243271,120
662243283,90
662243305,30
662243316,0
662243349,120
662243388,30
662243427,120
662243441,30
662243457,90
662243475,0
662243494,120
662243541,30
662243559,90
662243575,120
662243593,90
662243612,120
662243627,0
662243641,150
662243655,90
662243673,150
662243701,120
662243715,120
662243729,120
662243773,0
662243787,0
662243800,30
662243814,120
662243828,60
662243942,150
662243958,90
662243985,150
662244007,30
662244044,30
662244065,30
662244080,0
662244096,90
662244289,60
662244326,150
662244344,90
662244416,120
662244430,90
662244485,0
662244491,60
662244505,90
662244515,0
662244542,120
662244557,60
662244571,150
662244604,30
662244619,90
662244636,60
662244650,0
662244664,30
662244681,90
662244700,120
662244719,150
662244739,90
662244756,90
662244780,150
662244787,60
662244794,60
662244852,150
662244859,90
662244866,150
662244873,90
662244880,0
662244887,60
662244901,150
662244908,30
662244915,30
662244922,60
662244943,30
662244950,60
662244964,60
662244971,90
662244978,0
662244985,150
662245056,0
662245069,60
662245076,0
662245087,60
662245108,90
662245115,60
662245122,0
662245129,30
662245151,0
662245158,0
662245165,120
662245172,0
662245179,60
662245186,30
662245214,150
662245279,150
662245295,30
662245302,60
662245323,30
662245330,60
662245348,150
662245419,90
662245426,150
662245436,30
662245450,30
662245457,90
662245464,120
662245471,120
662245478,60
662245499,30
662245520,150
662245527,30
662245534,30
662245541,150
662245548,30
662245562,0
662245580,30
662245587,30
662245594,60
662245601,0
662245668,120
662245701,90
662245734,90
662245762,60
662245791,0
662245805,60
662245820,120
662245851,120
662245869,0
662245906,120
662245925,150
662245960,90
662245987,90
662246003,90
662246103,90
662246113,0
662246126,90
662246141,60
662246159,90
662246177,0
662246193,60
662246207,0
662246221,0
662246250,60
