cell_specimen_id,pref_ori
662190676,90
662190687,90
662190706,0
662190716,90
662190744,60
662190761,0
662190808,120
662190824,90
662190840,120
662190882,90
662190909,0
662190961,120
662190984,0
662191007,120
662191096,0
662191237,0
662191299,60
662191332,90
662191355,90
662191687,0
662191710,0
662191745,150
662191817,120
662191846,60
662192055,150
662192190,0
662192519,120
662192549,90
662192745,30
662192814,90
662192879,30
662192900,0
662192951,60
662193018,90
662193086,90
662193103,60
662193120,60
662193138,30
662193154,120
662193172,90
662193188,0
662193241,90
662193322,90
662193482,30
662193620,120
662193733,0
662193868,120
662193894,0
662193916,0
662193933,150
662193948,150
662193992,90
662194008,120
662194028,150
662194072,60
662194092,0
662194111,150
662194122,120
662194168,0
662194183,150
662194200,90
662194216,30
662194259,0
662194305,60
662194403,0
662194451,150
662194557,120
662194615,90
662194647,60
662194673,60
662194711,90
662194739,120
662194764,90
662194881,90
662194961,30
662194984,30
662195038,150
662195053,0
662195066,120
662195133,60
662195162,150
662195191,0
662195205,0
662195222,30
662195247,0
662195325,150
662195436,90
