cell_specimen_id,pref_ori
662074623,60
662074654,90
662074679,150
662074719,150
662074753,120
662074789,90
662074856,150
662074878,0
662074909,90
662075095,0
662075223,150
662075376,90
662075478,60
662075531,0
662075551,0
662075944,0
662076038,90
662076063,60
662076156,90
662076177,0
662076195,90
662076216,150
662076237,0
662076250,120
662076269,0
662076325,120
662076341,120
662076349,60
662076397,0
662076512,30
662076531,90
662076605,30
662076627,120
662076643,120
662076653,90
662076707,0
662076716,90
662076885,90
662076976,0
662076986,90
662076997,60
662077007,90
662077018,150
662077029,150
662077065,90
662077108,60
