cell_specimen_id,ori_peak_sig,freq_peak_sig
517525727,1.6100520124383682,1.165469642713925
517525181,1.5476969670149956,1.2142840294370332
517526028,1.4530115348525026,1.3883286094750498
517525946,1.4346853858038802,1.2474265440769874
517525956,1.431940111657861,1.4460429315579881
517525464,1.398978333750848,1.6045694232942895
589157405,1.3837659403814622,1.335965398991081
517526438,1.3351535446059806,1.775056023169913
517526188,1.316777147757757,1.1645531590794798
517526192,1.3149098927682181,1.3573903596821273
517526075,1.2945735403633887,1.171471070231643
517526003,1.286942446435346,1.3029905579913084
