cell_specimen_id,pref_ori
517525153,30
517525177,90
517525181,60
517525189,90
517525194,90
517525199,90
517525207,60
517525217,120
517525222,60
517525227,120
517525232,60
517525237,120
517525242,90
517525251,90
517525290,60
517525295,60
517525300,60
517525305,0
517525310,90
517525315,120
517525325,60
517525330,150
517525335,0
517525338,120
517525341,60
517525346,0
517525351,90
517525354,120
517525360,0
517525370,30
517525380,60
517525383,0
517525388,90
517525397,30
517525411,120
517525431,90
517525436,90
517525441,150
517525446,90
517525455,30
517525460,150
517525464,30
517525474,150
517525478,150
517525483,120
517525488,90
517525493,0
517525499,120
517525503,90
517525519,60
517525535,60
517525548,0
517525580,30
517525584,60
517525587,120
517525604,30
517525633,60
517525653,90
517525658,90
517525663,90
517525668,0
517525673,90
517525678,30
517525683,30
517525688,90
517525695,0
517525700,150
517525705,30
517525710,90
517525713,90
517525718,60
517525727,90
517525730,60
517525786,90
517525791,60
517525801,90
517525806,120
517525811,150
517525816,90
517525821,90
517525840,60
517525850,120
517525858,30
517525870,60
517525888,90
517525919,90
517525924,120
517525927,30
517525930,150
517525933,30
517525938,150
517525941,90
517525946,0
517525951,90
517525956,30
517525961,90
517525966,0
517525971,90
517525981,0
517525994,90
517525998,90
517526003,30
517526008,90
517526013,0
517526018,90
517526023,150
517526028,120
517526033,90
517526048,60
517526051,90
517526072,120
517526075,90
517526083,90
517526101,30
517526106,150
517526111,60
517526116,90
517526121,60
517526126,90
517526177,90
517526188,0
517526192,30
517526196,30
517526211,150
517526214,60
517526223,60
517526226,60
517526229,90
517526253,90
517526289,30
517526292,150
517526303,60
517526306,90
517526309,90
517526312,90
517526315,120
517526319,150
517526329,90
517526334,150
517526338,60
517526343,120
517526348,150
517526353,90
517526368,90
517526398,150
517526401,30
517526414,150
517526418,150
517526428,60
517526435,60
517526438,150
517526448,120
517526453,90
517526457,30
517526467,90
517526472,60
517526479,120
517526487,0
517526524,90
517526527,60
517526530,90
517526533,60
517526538,30
517526544,120
517526554,120
517526559,90
517526592,120
517526612,60
517526653,30
517526657,90
517526674,30
517526679,0
517526683,90
517526688,120
517526698,0
517526703,0
517526708,0
517526713,30
517526717,150
517526737,150
517526747,150
517526765,30
517526770,120
517526780,150
517526785,90
517526790,90
517526795,0
517526800,30
517526805,30
517526816,150
517526821,150
517526834,30
517526837,150
517526840,150
517526843,120
517526851,120
517526856,150
517526861,120
517526871,90
517526874,120
517526879,120
517526884,60
517526889,90
517526894,120
517526899,150
517526903,30
517526907,120
517526913,90
517526925,90
517526929,120
517526937,0
517526941,120
517526950,150
517526968,150
517526988,60
517526993,60
517527003,30
517527033,150
517527043,120
517527053,0
517527056,120
589156650,30
589156711,30
589156842,120
589156862,60
589156942,30
589156949,90
589157018,60
589157028,90
589157035,90
589157045,150
589157052,120
589157088,30
589157107,0
589157219,60
589157226,90
589157248,0
589157255,60
589157262,60
589157269,0
589157282,150
589157289,120
589157296,120
589157405,90
589157540,120
589157629,30
589157650,150
589157716,150
589157791,90
589157832,30
589157869,90
589157876,60
589157883,90
589157890,90
589157897,90
589157904,30
589157911,120
589157919,120
589157926,0
589157933,60
589157941,90
