cell_specimen_id,pref_ori
661961673,150
661961735,0
661961763,60
661961798,60
661961885,90
661961915,90
661961947,60
661961981,0
661962023,90
661962069,30
661962189,0
661962262,150
661962391,60
661962477,90
661962518,150
661962562,90
661962668,90
661962711,0
661962831,90
661962867,60
661962908,150
661962983,90
661963070,0
661963162,60
661963303,30
661963343,60
661963386,30
661963424,90
661963439,90
661963462,90
661963491,60
661963513,90
661963583,0
661963637,90
661963695,60
661963725,90
661963750,0
661963947,90
661963979,90
661964036,90
661964098,150
661964120,150
661964170,30
661964192,0
661964339,150
661964357,120
661964384,30
661964412,150
661964441,150
661964482,150
661964517,90
661964545,60
661964573,90
661964678,120
661964704,60
661964837,60
661964876,60
661964913,120
661964936,120
661964958,60
661964978,90
661965002,120
661965043,60
661965154,0
661965181,60
661965198,90
661965251,60
661965336,0
661965358,60
661965433,150
661965453,60
661965523,0
661965567,120
661965606,120
661965638,90
661965682,0
661965710,90
661965730,60
661965755,90
661965919,0
661965929,0
661965940,0
661965950,90
661965960,150
661965971,30
661965981,30
661966001,90
661966049,0
661966077,0
661966126,120
661966140,120
661966150,90
661966161,0
661966170,150
661966190,60
661966251,30
661966259,90
