cell_specimen_id,pref_ori
673031481,60
673031533,90
673031576,120
673031592,120
673031608,120
673031631,150
673031655,90
673031684,120
673031698,0
673031738,60
673031753,60
673031910,60
673031938,150
673031951,60
673031977,150
673031987,150
673032005,150
673032027,90
673032041,30
673032160,90
673032174,0
673032195,120
673032208,0
673032235,0
673032254,120
673032268,0
673032283,150
673032360,0
673032409,90
673032519,120
673032528,90
673032589,150
673032606,0
673032655,120
673032672,120
673032687,30
673032709,150
673032735,120
673032914,0
673032933,150
673032947,90
673032968,150
673032975,150
673033060,90
673033067,150
673033086,30
673033116,0
673033146,90
673033163,0
673033170,0
673033177,90
673033184,0
673033191,120
673033198,90
673033212,30
673033219,120
673033226,0
673033233,0
673033247,0
673033254,30
673033268,150
673033275,120
673033289,120
673033301,90
673033357,150
673033378,120
673033455,30
673033469,60
673033476,150
673033490,0
673033497,150
673033504,90
673033511,60
673033518,90
673033547,120
673033569,150
673033614,0
673033628,60
673033635,0
673033642,30
673033649,90
673033656,0
673033663,60
673033689,0
673033807,150
